STATE,LGA,TOTAL_FACILITIES,AVG_BEDS,AVG_WARDS,AVG_READINESS,FACILITIES_WITH_DAMAGES,MONTH,YEAR,YEAR_MONTH
Cross River State,Abi,6,4.0,1.8333333333333333,76.66666666666667,5,January,2025,2025-01
Cross River State,Akamkpa,5,3.0,2.6,84.0,3,January,2025,2025-01
Cross River State,Akpabuyo,3,0.0,1.6666666666666667,86.66666666666667,1,January,2025,2025-01
Cross River State,Bakassi,4,0.0,2.0,72.5,4,January,2025,2025-01
Cross River State,Bekwarra,4,1.75,2.0,82.5,4,January,2025,2025-01
Cross River State,Calabar Municipal,5,5.2,3.8,96.0,1,January,2025,2025-01
Cross River State,Calabar South,4,3.25,4.5,97.5,1,January,2025,2025-01
Cross River State,Etung,6,8.25,3.8,85.0,3,January,2025,2025-01
Cross River State,Ikom,5,2.25,3.4,88.0,4,January,2025,2025-01
Cross River State,Obanliku,5,3.0,2.6,68.0,5,January,2025,2025-01
Cross River State,Obudu,3,8.0,2.5,76.66666666666667,2,January,2025,2025-01
Cross River State,Odukpani,1,4.0,3.0,60.0,1,January,2025,2025-01
Cross River State,Ogoja,2,0.5,0.5,60.0,2,January,2025,2025-01
Cross River State,Yakurr,5,2.2,0.8,74.0,5,January,2025,2025-01
Cross River State,Yala,7,6.2,2.1666666666666665,81.42857142857143,6,January,2025,2025-01
Cross River State,,372,,2.532258064516129,100.0,0,January,2025,2025-01
Cross River state,Ababene in Obubra,1,10.0,2.0,60.0,1,January,2025,2025-01
Cross River state,Abi,2,1.0,2.0,85.0,1,January,2025,2025-01
Cross River state,Abi Local Government Area,1,6.0,2.0,60.0,1,January,2025,2025-01
Cross River state,Akamkpa,1,3.0,2.0,70.0,1,January,2025,2025-01
Cross River state,Akamkpa local government area,1,0.0,,60.0,1,January,2025,2025-01
Cross River state,Akpabuyo,4,1.0,1.0,70.0,4,January,2025,2025-01
Cross River state,Ayeabam Village,1,1.0,1.0,80.0,1,January,2025,2025-01
Cross River state,Bakassi,2,1.0,1.0,65.0,2,January,2025,2025-01
Cross River state,Bakassi in,1,2.0,1.0,70.0,1,January,2025,2025-01
Cross River state,Bekwara,8,4.5,2.25,87.5,5,January,2025,2025-01
Cross River state,Biase,4,5.75,1.75,67.5,4,January,2025,2025-01
Cross River state,Boki,3,5.666666666666667,1.6666666666666667,73.33333333333333,2,January,2025,2025-01
Cross River state,Calabar Municipality,6,2.5,2.3333333333333335,71.66666666666667,6,January,2025,2025-01
Cross River state,Calabar South,1,0.0,1.0,100.0,0,January,2025,2025-01
Cross River state,Etung,3,4.333333333333333,1.3333333333333333,66.66666666666667,3,January,2025,2025-01
Cross River state,Ikom,10,1.6,1.5,88.0,8,January,2025,2025-01
Cross River state,Obanliku,7,4.2,2.5,81.42857142857143,7,January,2025,2025-01
Cross River state,Obubra,2,4.5,1.5,60.0,2,January,2025,2025-01
Cross River state,Obudu,11,2.8333333333333335,2.4,85.45454545454545,10,January,2025,2025-01
Cross River state,Odukpani,2,6.0,2.0,95.0,1,January,2025,2025-01
Cross River state,Ogoja,7,3.6666666666666665,2.3333333333333335,82.85714285714286,5,January,2025,2025-01
Cross River state,Yakurr,3,5.0,1.3333333333333333,100.0,0,January,2025,2025-01
Cross River state,Yala,21,2.8,1.9,80.0,21,January,2025,2025-01
Cross River state,,444,,1.873015873015873,100.0,0,January,2025,2025-01
State of PHC,,6,,,100.0,0,January,2025,2025-01
